Water Type,Sample Type,Location ID,Sample Date,Temp,pH,Magnesium (Mg),Calcium (Ca),Silicon (Si),si_Sepiolite,si_stevensite
Brackish,Groundwater,Groundwater,6/27/11,20.8,7.03,0.88,3.4,0.235,-4.6633,-7.3691
Brackish,Groundwater,Groundwater,6/27/11,20.8,7.03,0.88,3.4,0.234,-5.0668,-7.3766
Brackish,Groundwater,Groundwater,6/27/11,20.8,7.4,4.02,3.6,0.204,-5.0723,-3.6078
Brackish,Groundwater,Groundwater,2/25/14,21,7.12,0.92,3.1,0.309,-2.5373,-6.2901
Brackish,Groundwater,Groundwater,2/27/14,21.7,7.47,0.92,3.3,0.214,-4.2985,-4.8398
Saline,Inactive,Inactive Porewater,2/9/14,25.4,6.88,49,15.4,0.197,-3.3681,-4.1742
Saline,Inactive,Inactive Porewater,2/9/14,24.9,7.45,55,16.6,0.358,-2.7626,0.3979
Saline,Inactive,Inactive Porewater,2/9/14,26,7.33,46,14.4,0.158,0.3599,-1.9287
Saline,Inactive,Inactive Porewater,2/9/14,27.1,7.13,45,14.2,0.268,-1.2824,-2.233
Saline,Inactive,Inactive Porewater,2/9/14,23.4,6.85,50,15.2,0.234,-1.3802,-4.0292
Saline,Inactive,Inactive Porewater,2/9/14,24.5,6.92,50,15.3,0.237,-2.6928,-3.59
Saline,Inactive,Inactive Porewater,2/10/14,23.4,7.54,21,8.2,0.696,-2.3692,1.1092
Saline,Inactive,Inactive Porewater,2/10/14,24.3,7.22,65,19.3,0.452,0.8801,-0.3953
Saline,Inactive,Inactive Porewater,2/10/14,24,7.14,61,17.6,0.379,-0.1493,-1.2467
Saline,Inactive,Inactive Porewater,2/10/14,24.5,7.3,123,32.8,0.348,-0.7498,0.3461
Saline,Inactive,Inactive Porewater,2/10/14,23.8,7.31,132,33.7,0.39,0.3201,0.6906
Saline,Inactive,Inactive Porewater,2/11/14,25,7.03,95,26.1,0.437,0.5497,-1.1773
Saline,Inactive,Inactive Porewater,2/11/14,25.1,6.9,81,20.8,0.342,-0.6522,-2.5603
Saline,Inactive,Inactive Porewater,2/12/14,28.6,6.72,48,14.6,0.323,-1.6063,-4.3018
Saline,Inactive,Inactive Porewater,2/12/14,27.6,6.8,72,19.1,0.489,-2.6921,-2.6724
Saline,Inactive,Inactive Porewater,2/12/14,27.3,6.88,67,18.6,0.585,-1.5657,-1.9581
Saline,Inactive,Inactive Porewater,2/12/14,28,6.86,86,22.7,0.84,-1.073,-1.1799
Saline,Island (Is),Undisclosed Porewater,2/16/14,23.1,6.8,132,27.1,0.358,-0.4808,-2.5172
Saline,Active,Active Porewater,2/17/14,25.1,6.96,27,8.7,0.305,-1.6136,-3.5401
Saline,Active,Active Porewater,2/17/14,25.6,6.99,33,10.1,0.323,-2.2873,-3.0584
Saline,Active,Active Porewater,2/17/14,25.3,6.91,30,9.5,0.331,-1.9427,-3.5916
Saline,Active,Active Porewater,2/18/14,22.7,6.89,28,9,0.327,-2.3037,-3.7977
Saline,Active,Active Porewater,2/18/14,23,6.93,28,8.7,0.309,-2.5123,-3.6559
Saline,Active,Active Porewater,2/18/14,24.6,6.88,107,28.3,1.017,-2.417,-0.4714
Saline,Active,Active Porewater,2/18/14,25.4,6.78,81,21.9,1.121,-0.0677,-1.2178
Saline,Active,Active Porewater,2/18/14,27.1,7.04,148,37.7,0.334,-0.5329,-1.0613
Saline,Active,Active Porewater,2/18/14,27,6.73,110,30.2,1.132,-0.5525,-1.1576
Saline,Active,Active Porewater,2/18/14,30.8,7.19,149,38.3,0.25,-0.4476,-0.6686
Saline,Active,Active Porewater,2/18/14,29.9,6.76,138,36.8,0.77,-0.2382,-1.382
Saline,Active,Active Porewater,2/18/14,25.5,7.18,49,13.5,0.462,-0.5753,-0.894
Saline,Active,Active Porewater,2/18/14,25.5,7.08,44,12.4,0.484,-0.4463,-1.5228
Saline,Active,Active Porewater,2/19/14,27.6,6.91,47,13.5,0.527,-0.8598,-2.3308
Saline,Active,Active Porewater,2/19/14,27.5,6.72,56,15.7,0.636,-1.3316,-2.9614
Saline,Active,Active Porewater,2/19/14,28.1,6.69,70,18.6,0.749,-1.7258,-2.6225
Saline,Active,Active Porewater,2/19/14,29.4,6.74,55,15.3,0.626,-1.458,-2.8919
Saline,Active,Active Porewater,2/19/14,29.8,7.08,45,12.8,0.496,-1.6328,-1.4669
Saline,Active,Active Porewater,2/19/14,28.3,7.11,46,13.1,0.508,-0.708,-1.2199
Saline,Active,Active Porewater,2/19/14,29.5,7.09,70,18.1,0.518,-0.5783,-0.8695
Saline,Active,Active Porewater,2/19/14,28.2,7.05,73,19.1,0.555,-0.3063,-0.941
Saline,Western shoreline (W),Undisclosed Porewater,2/20/14,30.8,6.36,166,30.3,0.637,-0.3773,-3.8926
Saline,Shoreline near Swan Pond outlet (SP),Undisclosed Porewater,2/20/14,25.9,6.81,55,14,0.498,-2.2411,-2.861
Saline,Northern shoreline (N),Undisclosed Porewater,2/23/14,28.3,6.74,91,28.3,0.477,-1.7333,-2.8193
Saline,Northeastern shoreline (NE),Undisclosed Porewater,2/23/14,26.9,7,114,29.3,0.708,-1.6519,-0.3138
Brine,water Lake Clifton southern basin,Surface,2/25/14,24.7,7.18,315,39.9,0.62,0.0464,1.8992
