Water Type,Sample Type,Location ID,Sample Date,Depth (cm),Temperature (C),pH,Electrical Conductivity (EC) (mS/cm),Total Dissolved Solids (TDS) (g/L),Density (_) (kg/m_),Chloride (Cl),Sulfate (SO_),Bicarbonate (HCO_),Bromide (Br),Sodium (Na),Magnesium (Mg),Calcium (Ca),Potassium (K),Silicon (Si),Strontium (Sr)
Brackish,Groundwater,,6/27/11,bore,20.8,7.03,1.54,1,1016,8.7,0.37,5.95,,7.4,0.88,3.4,0.100,0.235,0.00696
Brackish,Groundwater,,6/27/11,bore,20.8,7.03,1.54,1,1016,8.7,0.38,5.88,,7.5,0.88,3.4,0.100,0.234,0.00696
Brackish,Groundwater,,6/27/11,bore,20.8,7.4,5.26,3.1,1017,40.3,1.26,6.05,,38.1,4.02,3.6,0.5,0.204,0.01045
Brackish,Groundwater,,2/25/14,bore,21,7.12,1.8,1.1,1016,10.1,0.34,6.36,0.013,8.9,0.92,3.1,0.2,0.309,0.00348
Brackish,Groundwater,,2/27/14,bore,21.7,7.47,1.82,1.1,1016,11.2,0.38,5.73,0.013,8.9,0.92,3.3,0.1,0.214,0.00696
Saline,Porewater,Inactive,2/9/14,50,25.4,6.88,51.4,33.8,1028,541,25.8,5.51,0.836,418,49,15.4,6.7,0.197,0.03754
Saline,Porewater,Inactive,2/9/14,71,24.9,7.45,55.2,36.2,1029,568,27.3,5.69,0.876,468,55,16.6,7.6,0.358,0.04229
Saline,Porewater,Inactive,2/9/14,51,26,7.33,45.2,29.8,1026,460,21.8,5.58,0.706,394,46,14.4,6.2,0.158,0.03512
Saline,Porewater,Inactive,2/9/14,49,27.1,7.13,44.9,29.2,1025,455,21.1,6.01,0.705,380,45,14.2,6.1,0.268,0.03509
Saline,Porewater,Inactive,2/9/14,35,23.4,6.85,48.3,32.4,1029,503,24.6,5.78,0.772,424,50,15.2,6.6,0.234,0.03874
Saline,Porewater,Inactive,2/9/14,21,24.5,6.92,49,31.8,1028,490,22.7,5.76,0.682,426,50,15.3,6.9,0.237,0.04105
Saline,Porewater,Inactive,2/10/14,43,23.4,7.54,20.4,12.5,1020,187,8.8,6.12,0.268,162,21,8.2,2.3,0.696,0.01862
Saline,Porewater,Inactive,2/10/14,14,24.3,7.22,62.2,42.2,1032,667,30.8,6.4,0.93,545,65,19.3,8.5,0.452,0.04949
Saline,Porewater,Inactive,2/10/14,7,24,7.14,58,38.3,1031,588,28.6,6.61,0.852,511,61,17.6,8.3,0.379,0.04942
Saline,Porewater,Inactive,2/10/14,12,24.5,7.3,102.4,76.9,1048,1206,59.2,3.74,1.81,1005,123,32.8,16.2,0.348,0.09329
Saline,Porewater,Inactive,2/10/14,20,23.8,7.31,104.9,76.6,1048,1157,55.8,3.56,1.758,1071,132,33.7,16.8,0.39,0.0981
Saline,Porewater,Inactive,2/11/14,28,25,7.03,85.4,59.5,1040,922,44.2,4.76,1.327,797,95,26.1,13.2,0.437,0.0712
Saline,Porewater,Inactive,2/11/14,42,25.1,6.9,67.6,46.6,1034,691,32.5,5.15,0.983,670,81,20.8,9.7,0.342,0.06136
Saline,Porewater,Inactive,2/12/14,35,28.6,6.72,54.5,31.1,1025,492,23.8,,0.731,404,48,14.6,6.4,0.323,0.03859
Saline,Porewater,Inactive,2/12/14,21,27.6,6.8,68.2,45.1,1032,708,33.2,,1.072,602,72,19.1,9.4,0.489,0.05652
Saline,Porewater,Inactive,2/12/14,14,27.3,6.88,64.2,42.5,1031,672,30.7,,0.98,562,67,18.6,8.2,0.585,0.05293
Saline,Porewater,Inactive,2/12/14,7,28,6.86,80.5,53.7,1035,845,41.8,,1.192,704,86,22.7,11.2,0.84,0.06735
