Date,Temperature (C),log_Ksp,pH,Sample_Type
2014-02-16,22.5,49.00808709974590,7.35,Surface Water
2014-02-25,24.7,49.65476465355150,7.18,Surface Water
2011-06-26,16.2,46.41469332750110,7.71,Surface Water
2012-08-14,17.9,47.17317386203240,7.95,Surface Water
2012-08-19,13.5,47.12629338232460,7.94,Surface Water
2012-08-19,17.9,47.441799545209200,7.99,Surface Water
2012-08-20,16.0,46.81337031279980,7.89,Surface Water
2014-02-15,27.4,51.50623051705770,8.26,Surface Water
2014-02-15,29.1,48.80712927029120,7.91,Surface Water
2014-02-15,25.8,49.61420779442310,8.11,Surface Water
2014-02-17,28.5,47.82640609829350,7.54,Surface Water
2014-02-20,33.3,46.368533343931500,7.27,Surface Water
2014-02-09,25.4,43.47818560881270,6.88,Inactive Pore Water
2014-02-09,24.9,48.08459471491280,7.45,Inactive Pore Water
2014-02-09,26.0,45.71246230890380,7.33,Inactive Pore Water
2014-02-09,27.1,45.402084300502000,7.13,Inactive Pore Water
2014-02-09,23.4,43.6220608010095,6.85,Inactive Pore Water
2014-02-09,24.5,44.06447553969660,6.92,Inactive Pore Water
2014-02-10,23.4,48.536254298409000,7.54,Inactive Pore Water
2014-02-10,24.3,47.32655820441060,7.22,Inactive Pore Water
2014-02-10,24.0,46.45656462818490,7.14,Inactive Pore Water
2014-02-10,24.5,48.17862918333170,7.3,Inactive Pore Water
2014-02-10,23.8,48.52668581869010,7.31,Inactive Pore Water
2014-02-11,25.0,46.61898825395320,7.03,Inactive Pore Water
2014-02-11,25.1,45.202517312468900,6.9,Inactive Pore Water
2014-02-12,28.6,38.12314039345880,6.72,Inactive Pore Water
2014-02-12,27.6,39.62111816308450,6.8,Inactive Pore Water
2014-02-12,27.3,39.9477764994354,6.88,Inactive Pore Water
2014-02-17,25.1,43.942106198710100,6.96,Active Pore Water
2014-02-17,25.6,44.48093265234860,6.99,Active Pore Water
2014-02-17,25.3,43.92073597431880,6.91,Active Pore Water
2014-02-18,22.7,43.69037355247750,6.89,Active Pore Water
2014-02-18,23.0,43.830544133853600,6.93,Active Pore Water
2014-02-18,24.6,47.33967541053050,6.88,Active Pore Water
2014-02-18,25.4,46.54707341661200,6.78,Active Pore Water
2014-02-18,27.1,46.78637897691220,7.04,Active Pore Water
2014-02-18,27.0,46.66342518866360,6.73,Active Pore Water
2014-02-18,30.8,47.19232009048060,7.19,Active Pore Water
2014-02-18,29.9,46.468197033120900,6.76,Active Pore Water
2014-02-18,25.5,46.75316991115670,7.18,Active Pore Water
2014-02-18,25.5,46.09473637690380,7.08,Active Pore Water
2014-02-19,27.6,45.30935962571330,6.91,Active Pore Water
2014-02-19,27.5,44.72316370615260,6.72,Active Pore Water
2014-02-19,28.1,45.115662881261,6.69,Active Pore Water
2014-02-19,29.4,44.791818275456800,6.74,Active Pore Water
2014-02-19,29.8,46.166963992874100,7.08,Active Pore Water
2014-02-19,28.3,46.41717969057780,7.11,Active Pore Water
2014-02-19,29.5,46.873871212509200,7.09,Active Pore Water
2014-02-25,7.12,2.321368887472110,1.8,Groundwater
2014-02-27,7.47,3.694127384088120,1.82,Groundwater
